,Titles,Scores,title_keywords,title_keywords_2,title_keywords_3,title_keywords_v,title_keywords_v2
45,Are there common multi-omics profiles of longevity?,4,"[('omics', 0.8766), ('profiles', 0.8706), ('multi', 0.861), ('common', 0.8398)]","[('profiles longevity', 0.9141), ('multi omics', 0.9045), ('common multi', 0.8814), ('omics', 0.8766)]","[('omics profiles longevity', 0.9444), ('multi omics profiles', 0.9264), ('common multi', 0.8814), ('profiles', 0.8706)]",[],"[('common multi - omics profiles', 0.9446)]"
46,Do birds and mammals have universal aging patterns?,4,"[('universal', 0.8768), ('mammals', 0.8629), ('birds', 0.8584), ('patterns', 0.8417)]","[('universal aging', 0.9209), ('aging patterns', 0.9079), ('mammals universal', 0.9048), ('birds mammals', 0.8771), ('patterns', 0.8417)]","[('universal aging patterns', 0.9439), ('mammals universal aging', 0.9433), ('birds mammals universal', 0.917), ('birds mammals', 0.8771), ('universal', 0.8768)]","[('universal aging patterns', 0.9439), ('mammals', 0.8629), ('birds', 0.8584)]","[('mammals', 0.8629), ('birds', 0.8584), ('patterns', 0.8417)]"
47,What genes and pathways must be targeted to extend lifespan and healthspan? Identify most important genes. ,4,"[('lifespan', 0.9003), ('healthspan', 0.8948), ('genes', 0.8848), ('pathways', 0.874), ('targeted', 0.8682)]","[('extend lifespan', 0.9199), ('healthspan identify', 0.8924), ('genes pathways', 0.8907), ('targeted', 0.8682), ('important', 0.8646)]","[('extend lifespan healthspan', 0.9369), ('genes pathways targeted', 0.9145), ('healthspan identify', 0.8924), ('targeted extend', 0.8806), ('identify important', 0.8676)]","[('lifespan', 0.9003), ('healthspan', 0.8948), ('important genes', 0.8855), ('genes', 0.8848), ('pathways', 0.874)]","[('lifespan', 0.9003), ('healthspan', 0.8948), ('important genes', 0.8855), ('genes', 0.8848), ('pathways', 0.874)]"
48,What small molecules or lifespan interventions can mimic longevity signature?,4,"[('signature', 0.8944), ('molecules', 0.866), ('interventions', 0.8654), ('small', 0.8304)]","[('longevity signature', 0.9305), ('mimic longevity', 0.9197), ('lifespan interventions', 0.9157), ('interventions mimic', 0.8959), ('small molecules', 0.8848)]","[('lifespan interventions mimic', 0.942), ('mimic longevity signature', 0.9384), ('molecules lifespan', 0.9035), ('signature', 0.8944), ('small molecules', 0.8848)]","[('longevity signature', 0.9305), ('lifespan interventions', 0.9157), ('small molecules', 0.8848)]","[('longevity signature', 0.9305), ('lifespan interventions', 0.9157), ('small molecules', 0.8848)]"
49,What are the causal hallmarks of aging? ,4,"[('hallmarks', 0.9054), ('causal', 0.8974)]","[('hallmarks aging', 0.9442), ('causal hallmarks', 0.9393), ('hallmarks', 0.9054), ('causal', 0.8974)]","[('causal hallmarks aging', 0.9736), ('hallmarks aging', 0.9442), ('hallmarks', 0.9054), ('causal', 0.8974)]","[('causal hallmarks', 0.9393)]","[('causal hallmarks', 0.9393)]"
50,Is epigenetic drift the cause of aging?,4,"[('drift', 0.913), ('epigenetic', 0.8995), ('cause', 0.8898)]","[('drift cause', 0.9407), ('epigenetic drift', 0.9404), ('cause aging', 0.9309), ('epigenetic', 0.8995)]","[('epigenetic drift cause', 0.9677), ('drift cause aging', 0.9571), ('cause aging', 0.9309), ('epigenetic', 0.8995)]","[('epigenetic drift', 0.9404), ('cause', 0.8898)]","[('epigenetic drift', 0.9404), ('cause', 0.8898)]"
51,"We need to understand what we die of, what are the main fragilities that cause death , what we need to fix",4,"[('fragilities', 0.9115), ('cause', 0.9109), ('death', 0.8969), ('fix', 0.8925), ('understand', 0.8543)]","[('fragilities cause', 0.9284), ('fix', 0.8925), ('death need', 0.8898), ('understand', 0.8543), ('main', 0.8528)]","[('fragilities cause death', 0.9487), ('fix', 0.8925), ('death need', 0.8898), ('need understand', 0.8538), ('main', 0.8528)]","[('main fragilities', 0.9074), ('death', 0.8969)]","[('main fragilities', 0.9074), ('death', 0.8969)]"
52,We need to understand the resilience factors that allow us to reach our current lifespan! focus on protective rather than risk factors,4,"[('resilience', 0.9269), ('lifespan', 0.8943), ('factors', 0.878), ('protective', 0.8771), ('risk', 0.8656)]","[('resilience factors', 0.9368), ('current lifespan', 0.886), ('risk', 0.8656), ('focus protective', 0.8624), ('need understand', 0.824)]","[('understand resilience factors', 0.9513), ('lifespan focus protective', 0.902), ('reach current lifespan', 0.8885), ('risk', 0.8656), ('need understand', 0.824)]","[('resilience factors', 0.9368), ('risk factors', 0.8951), ('current lifespan', 0.886)]","[('resilience factors', 0.9368), ('risk factors', 0.8951), ('current lifespan', 0.886), ('protective', 0.8771)]"
53,"We need to have a systems biology model of aging to underrated human biology, to understand human differences",4,"[('systems', 0.8801), ('biology', 0.8778), ('underrated', 0.8729), ('understand', 0.8398)]","[('aging underrated', 0.9098), ('systems biology', 0.9007), ('model aging', 0.8958), ('understand human', 0.8752), ('need', 0.8257)]","[('aging underrated human', 0.9249), ('biology model aging', 0.9225), ('need systems biology', 0.9079), ('biology understand human', 0.8857), ('differences', 0.851)]","[('systems biology model', 0.9081), ('underrated human biology', 0.9061), ('human differences', 0.8749)]","[('systems biology model', 0.9081), ('underrated human biology', 0.9061), ('human differences', 0.8749)]"
54,"We need to understand the relationship between max/median lifespan and healthspan and sick span, and natural decline, from human data",4,"[('lifespan', 0.8969), ('sick', 0.8672), ('max', 0.8665), ('data', 0.8402), ('understand', 0.838)]","[('median lifespan', 0.9116), ('natural decline', 0.8709), ('sick', 0.8672), ('human data', 0.8668), ('relationship max', 0.8635)]","[('median lifespan healthspan', 0.9251), ('understand relationship max', 0.8762), ('decline human data', 0.8679), ('sick', 0.8672), ('natural', 0.8565)]","[('sick span', 0.8986), ('healthspan', 0.8803), ('natural decline', 0.8709), ('human data', 0.8668), ('relationship', 0.8311)]","[('median lifespan', 0.9116), ('sick span', 0.8986), ('healthspan', 0.8803), ('natural decline', 0.8709), ('human data', 0.8668)]"
55,We need to understand the impact of social emotional factors on human healthspan,4,"[('emotional', 0.8998), ('social', 0.8944), ('healthspan', 0.8827), ('human', 0.8753), ('factors', 0.862)]","[('social emotional', 0.9227), ('impact social', 0.9099), ('human healthspan', 0.9021), ('understand impact', 0.8764), ('factors', 0.862)]","[('social emotional factors', 0.9351), ('impact social', 0.9099), ('human healthspan', 0.9021), ('factors human', 0.889), ('understand impact', 0.8764)]","[('social emotional factors', 0.9351), ('human healthspan', 0.9021), ('impact', 0.8675)]","[('social emotional factors', 0.9351), ('human healthspan', 0.9021), ('impact', 0.8675)]"
56,We need to understand germline rejuvenation,4,"[('rejuvenation', 0.9275), ('germline', 0.9202), ('understand', 0.8369), ('need', 0.8178)]","[('germline rejuvenation', 0.9695), ('understand germline', 0.9278), ('rejuvenation', 0.9275), ('germline', 0.9202), ('need understand', 0.8389)]","[('understand germline rejuvenation', 0.9782), ('germline rejuvenation', 0.9695), ('need understand germline', 0.9374), ('rejuvenation', 0.9275), ('need', 0.8178)]","[('germline rejuvenation', 0.9695)]","[('germline rejuvenation', 0.9695)]"
57,We need to establish broad effective human trial network,4,"[('trial', 0.8855), ('network', 0.881), ('effective', 0.8712), ('human', 0.8544), ('broad', 0.854)]","[('trial network', 0.916), ('human trial', 0.9057), ('effective human', 0.8924), ('establish broad', 0.8756), ('need', 0.8198)]","[('human trial network', 0.9383), ('effective human trial', 0.9335), ('establish broad effective', 0.9019), ('network', 0.881), ('need', 0.8198)]","[('broad effective human trial network', 0.9789)]","[('broad effective human trial network', 0.9789)]"
58,We need individualized biomarkers to predict each persons fragilities and guide treatment,4,"[('biomarkers', 0.9108), ('fragilities', 0.9063), ('individualized', 0.8766), ('treatment', 0.8687), ('predict', 0.8314)]","[('individualized biomarkers', 0.9275), ('persons fragilities', 0.9089), ('fragilities guide', 0.8975), ('treatment', 0.8687), ('predict', 0.8314)]","[('need individualized biomarkers', 0.9421), ('fragilities guide treatment', 0.9292), ('biomarkers predict persons', 0.9222), ('predict persons fragilities', 0.9131), ('predict', 0.8314)]","[('individualized biomarkers', 0.9275), ('persons fragilities', 0.9089), ('treatment', 0.8687)]","[('individualized biomarkers', 0.9275), ('persons fragilities', 0.9089), ('treatment', 0.8687)]"
59,We need to consider a flagship project or trial that the field can get behind and support - to transform public opinion on the possibility of extending lifespan and healthspan,4,"[('flagship', 0.9006), ('healthspan', 0.8856), ('lifespan', 0.8772), ('extending', 0.861), ('trial', 0.8571)]","[('consider flagship', 0.9078), ('extending lifespan', 0.8997), ('healthspan', 0.8856), ('project trial', 0.8681), ('field support', 0.8555)]","[('flagship project trial', 0.9195), ('possibility extending lifespan', 0.9059), ('healthspan', 0.8856), ('field support', 0.8555), ('transform public opinion', 0.8478)]","[('flagship project', 0.9043), ('healthspan', 0.8856), ('lifespan', 0.8772), ('field', 0.8596), ('trial', 0.8571)]","[('flagship project', 0.9043), ('healthspan', 0.8856), ('lifespan', 0.8772), ('field', 0.8596), ('trial', 0.8571)]"
60,What molecular and cellular processes modulate the pace of aging in mammals?,4,"[('pace', 0.883), ('processes', 0.8742), ('mammals', 0.8603), ('modulate', 0.8542)]","[('aging mammals', 0.9065), ('cellular processes', 0.9014), ('pace aging', 0.9013), ('modulate pace', 0.892), ('molecular', 0.8542)]","[('modulate pace aging', 0.9286), ('pace aging mammals', 0.9239), ('molecular cellular processes', 0.911), ('aging mammals', 0.9065), ('processes modulate', 0.9021)]","[('cellular processes', 0.9014), ('pace', 0.883), ('mammals', 0.8603)]","[('cellular processes', 0.9014), ('pace', 0.883), ('mammals', 0.8603)]"
61,"Can we develop screens for anti-aging efficacy that will work in people (and mice), but whose effects do not require 5 - 40 years to measure in people?",4,"[('efficacy', 0.8753), ('mice', 0.858), ('screens', 0.8432), ('require', 0.8395)]","[('aging efficacy', 0.911), ('40 years', 0.9001), ('develop screens', 0.8711), ('effects require', 0.8686), ('people mice', 0.8664)]","[('anti aging efficacy', 0.9243), ('require 40 years', 0.9094), ('work people mice', 0.8801), ('develop screens', 0.8711), ('measure', 0.8372)]","[('years', 0.8731), ('mice', 0.858), ('people', 0.8546), ('effects', 0.8493), ('screens', 0.8432)]","[('anti - aging efficacy', 0.9255), ('years', 0.8731), ('mice', 0.858), ('people', 0.8546), ('effects', 0.8493)]"
62,What is the added value of non-lifestyle-related interventions on top of lifestyle in humans and how to best measure their effectiveness?,4,"[('interventions', 0.9012), ('lifestyle', 0.8814), ('humans', 0.8806), ('non', 0.877), ('related', 0.856)]","[('related interventions', 0.9183), ('interventions lifestyle', 0.9094), ('non lifestyle', 0.9027), ('added value', 0.8917), ('humans', 0.8806)]","[('related interventions lifestyle', 0.9248), ('added value', 0.8917), ('measure effectiveness', 0.872), ('value non', 0.8701), ('humans best', 0.8625)]","[('lifestyle', 0.8814), ('humans', 0.8806), ('value', 0.8769), ('effectiveness', 0.876), ('top', 0.8488)]","[('interventions', 0.9012), ('lifestyle', 0.8814), ('humans', 0.8806), ('value', 0.8769), ('effectiveness', 0.876)]"
63,What is the epistatic contribution of different mechanisms to human ageing?,4,"[('epistatic', 0.9151), ('mechanisms', 0.8701), ('human', 0.854), ('contribution', 0.8421)]","[('epistatic contribution', 0.9338), ('human ageing', 0.8986), ('different mechanisms', 0.8913), ('mechanisms human', 0.8836), ('contribution', 0.8421)]","[('epistatic contribution', 0.9338), ('mechanisms human ageing', 0.9288), ('contribution different mechanisms', 0.896), ('human', 0.854), ('different', 0.8409)]","[('epistatic contribution', 0.9338), ('human ageing', 0.8986), ('different mechanisms', 0.8913)]","[('epistatic contribution', 0.9338), ('human ageing', 0.8986), ('different mechanisms', 0.8913)]"
64,Which mechanisms are essential for ageing across a wide variety of model organisms and can realistically be adapted in humans?,4,"[('mechanisms', 0.8845), ('humans', 0.87), ('essential', 0.85), ('realistically', 0.8412)]","[('mechanisms essential', 0.9122), ('essential ageing', 0.9017), ('organisms realistically', 0.88), ('ageing wide', 0.8669), ('adapted humans', 0.8629)]","[('mechanisms essential ageing', 0.9462), ('organisms realistically adapted', 0.8837), ('humans', 0.87), ('ageing wide', 0.8669), ('wide variety model', 0.8283)]","[('mechanisms', 0.8845), ('model organisms', 0.879), ('humans', 0.87), ('wide variety', 0.807)]","[('mechanisms', 0.8845), ('model organisms', 0.879), ('humans', 0.87), ('wide variety', 0.807)]"
65,How to measure the extent of the homeodynmaic space,4,"[('homeodynmaic', 0.9116), ('measure', 0.8732), ('extent', 0.863), ('space', 0.8538)]","[('extent homeodynmaic', 0.9314), ('homeodynmaic space', 0.9287), ('measure extent', 0.9058), ('measure', 0.8732), ('space', 0.8538)]","[('measure extent homeodynmaic', 0.9616), ('extent homeodynmaic space', 0.946), ('homeodynmaic space', 0.9287), ('measure', 0.8732), ('space', 0.8538)]","[('homeodynmaic space', 0.9287), ('extent', 0.863)]","[('homeodynmaic space', 0.9287), ('extent', 0.863)]"
66,How to measure the pace of the shrinkage of the homeodynamic space.,4,"[('shrinkage', 0.8875), ('homeodynamic', 0.8815), ('measure', 0.862), ('pace', 0.8538), ('space', 0.8321)]","[('shrinkage homeodynamic', 0.9233), ('pace shrinkage', 0.9012), ('measure pace', 0.8912), ('homeodynamic space', 0.8886), ('space', 0.8321)]","[('measure pace shrinkage', 0.9394), ('pace shrinkage homeodynamic', 0.9305), ('shrinkage homeodynamic', 0.9233), ('homeodynamic space', 0.8886), ('measure', 0.862)]","[('homeodynamic space', 0.8886), ('shrinkage', 0.8875), ('pace', 0.8538)]","[('homeodynamic space', 0.8886), ('shrinkage', 0.8875), ('pace', 0.8538)]"
67,How does the body compensate and adapt to any age-related change.,4,"[('compensate', 0.8997), ('adapt', 0.8969), ('body', 0.8809), ('age', 0.8768), ('change', 0.8511)]","[('body compensate', 0.9217), ('adapt age', 0.9181), ('age related', 0.889), ('change', 0.8511), ('does', 0.8372)]","[('compensate adapt age', 0.941), ('does body compensate', 0.9212), ('age related', 0.8891), ('does body', 0.8663), ('related change', 0.8654)]","[('body', 0.8809)]","[('body', 0.8809), ('age', 0.8768), ('change', 0.8511)]"
68,how to translate biology of ageing into accurate biomarkers of aging,4,"[('biomarkers', 0.9046), ('biology', 0.8753), ('accurate', 0.8524), ('translate', 0.8372)]","[('biomarkers aging', 0.942), ('accurate biomarkers', 0.9182), ('biology ageing', 0.9052), ('translate biology', 0.8637), ('accurate', 0.8524)]","[('ageing accurate biomarkers', 0.9541), ('biomarkers aging', 0.942), ('translate biology ageing', 0.9249), ('biology ageing accurate', 0.9228), ('translate biology', 0.8637)]","[('accurate biomarkers', 0.9182), ('biology', 0.8753)]","[('accurate biomarkers', 0.9182), ('biology', 0.8753)]"
69,How to break the glass ceiling of 120 years,4,"[('glass', 0.8767), ('ceiling', 0.8679), ('years', 0.8576), ('120', 0.8445), ('break', 0.8432)]","[('glass ceiling', 0.8992), ('120 years', 0.8929), ('ceiling 120', 0.8908), ('glass', 0.8767), ('break', 0.8432)]","[('ceiling 120 years', 0.9247), ('glass ceiling', 0.8992), ('break glass', 0.8819), ('years', 0.8576), ('120', 0.8445)]","[('glass ceiling', 0.8992), ('years', 0.8576)]","[('glass ceiling', 0.8992), ('years', 0.8576)]"
70,What are the genetic causes (genes and DNA variants) that contribute to natural variation in aging rates ,4,"[('causes', 0.9097), ('genetic', 0.8945), ('variation', 0.8761), ('natural', 0.8582)]","[('genetic causes', 0.9306), ('variation aging', 0.913), ('variants contribute', 0.8801), ('rates', 0.8616), ('natural', 0.8582)]","[('variation aging rates', 0.9356), ('genetic causes genes', 0.9255), ('genes dna variants', 0.8938), ('variants contribute natural', 0.8821)]","[('genetic causes', 0.9306), ('aging rates', 0.9203), ('natural variation', 0.8884), ('dna variants', 0.8858), ('genes', 0.8689)]","[('genetic causes', 0.9306), ('natural variation', 0.8884), ('dna variants', 0.8858), ('genes', 0.8689), ('rates', 0.8616)]"
71,To what extent are causes of natural variation in aging rates modulated by environment and gene-by-environmental interactions,4,"[('causes', 0.8909), ('variation', 0.8806), ('natural', 0.8682), ('modulated', 0.8368)]","[('aging rates', 0.9184), ('natural variation', 0.8984), ('extent causes', 0.8844), ('environmental interactions', 0.8634), ('modulated', 0.8368)]","[('variation aging rates', 0.9412), ('causes natural', 0.9044), ('gene environmental interactions', 0.8898), ('modulated', 0.8368), ('extent', 0.823)]","[('aging rates', 0.9184), ('natural variation', 0.8984), ('causes', 0.8909), ('environment', 0.8507), ('extent', 0.823)]","[('natural variation', 0.8984), ('causes', 0.8909), ('environmental interactions', 0.8634), ('rates', 0.8611), ('environment', 0.8507)]"
72,How to measure intrinsic biological age in individual humans ,4,"[('intrinsic', 0.8984), ('age', 0.8834), ('biological', 0.8677), ('humans', 0.8604), ('measure', 0.8523)]","[('measure intrinsic', 0.9179), ('biological age', 0.9155), ('intrinsic biological', 0.9109), ('age individual', 0.8997), ('individual humans', 0.8803)]","[('intrinsic biological age', 0.949), ('measure intrinsic biological', 0.9303), ('age', 0.8834), ('individual humans', 0.8803), ('measure', 0.8523)]","[('intrinsic biological age', 0.949), ('individual humans', 0.8803)]","[('intrinsic biological age', 0.949), ('individual humans', 0.8803)]"
73,Which lifespan / health promoting interventions actually modulate intrinsic aging,4,"[('interventions', 0.8891), ('intrinsic', 0.8684), ('health', 0.8457), ('promoting', 0.8307)]","[('intrinsic aging', 0.9053), ('lifespan health', 0.8978), ('modulate intrinsic', 0.8961), ('interventions actually', 0.8837), ('promoting', 0.8307)]","[('modulate intrinsic aging', 0.9401), ('lifespan health promoting', 0.9239), ('health promoting interventions', 0.9034), ('interventions actually', 0.8837)]","[('intrinsic aging', 0.9053), ('health promoting interventions', 0.9034), ('lifespan', 0.8848)]","[('intrinsic aging', 0.9053), ('interventions', 0.8891), ('lifespan', 0.8848), ('health', 0.8457)]"
74,What are the ultimate molecular causes of physiological aging ,4,"[('causes', 0.9006), ('physiological', 0.8902), ('molecular', 0.8611), ('ultimate', 0.8553)]","[('molecular causes', 0.9251), ('physiological aging', 0.9226), ('causes physiological', 0.9217), ('causes', 0.9006), ('ultimate', 0.8553)]","[('causes physiological aging', 0.9522), ('ultimate molecular causes', 0.946), ('molecular causes', 0.9251), ('physiological', 0.8902), ('ultimate molecular', 0.8836)]","[('ultimate molecular causes', 0.946), ('physiological aging', 0.9226)]","[('ultimate molecular causes', 0.946), ('physiological aging', 0.9226)]"
75,What are epigenetic clocks measuring? ,4,"[('epigenetic', 0.9239), ('clocks', 0.9122), ('measuring', 0.884)]","[('epigenetic clocks', 0.9702), ('clocks measuring', 0.9384), ('epigenetic', 0.9239), ('clocks', 0.9122), ('measuring', 0.884)]","[('epigenetic clocks measuring', 0.9925), ('epigenetic clocks', 0.9702), ('epigenetic', 0.9239), ('clocks', 0.9122), ('measuring', 0.884)]","[('epigenetic clocks', 0.9702)]","[('epigenetic clocks', 0.9702)]"
76,Why do genetically identical organisms (e.g. C57BL/6 mice) kept in identical environment (the same vivarium) still have roughly 2 fold variability in their lifespans (between the first dead mouse and the last dead mouse in an experiment)? ,4,"[('mice', 0.8833), ('identical', 0.881), ('lifespans', 0.8794), ('variability', 0.866), ('kept', 0.8411)]","[('genetically identical', 0.9072), ('mice kept', 0.8873), ('lifespans dead', 0.8757), ('fold variability', 0.8658), ('vivarium roughly', 0.8463)]","[('mice kept identical', 0.9302), ('variability lifespans', 0.9014), ('organisms', 0.8731), ('environment vivarium roughly', 0.8651), ('dead', 0.8526)]","[('identical organisms', 0.9013), ('c57bl/6 mice', 0.8928), ('identical environment', 0.8901), ('lifespans', 0.8794), ('first dead mouse', 0.8706)]","[('identical organisms', 0.9013), ('c57bl/6 mice', 0.8928), ('identical environment', 0.8901), ('lifespans', 0.8794), ('first dead mouse', 0.8706)]"
77,Does mutation accumulation cause aging! or it is simply a adaptive response to aging-stress. Considering this can we utilize some of the age associated mutations against aging!,4,"[('accumulation', 0.9015), ('mutation', 0.8992), ('stress', 0.8521), ('adaptive', 0.8479)]","[('mutation accumulation', 0.941), ('cause aging', 0.9105), ('associated mutations', 0.8988), ('stress considering', 0.8633), ('adaptive response', 0.8609)]","[('mutation accumulation cause', 0.9539), ('associated mutations aging', 0.9293), ('aging simply adaptive', 0.9091), ('stress considering', 0.8633), ('response', 0.8337)]","[('mutation accumulation', 0.941), ('associated mutations', 0.8988), ('adaptive response', 0.8609), ('age', 0.8603)]","[('mutation accumulation', 0.941), ('mutations', 0.9005), ('adaptive response', 0.8609), ('age', 0.8603)]"
78,Can targeting inflammation in older age slow down the process of tissue aging.,4,"[('inflammation', 0.8889), ('older', 0.8638), ('tissue', 0.8559), ('slow', 0.8347), ('targeting', 0.8321)]","[('inflammation older', 0.9275), ('targeting inflammation', 0.9268), ('tissue aging', 0.9013), ('slow', 0.8347), ('targeting', 0.8321)]","[('targeting inflammation older', 0.959), ('tissue aging', 0.9013), ('older age slow', 0.8795), ('slow process tissue', 0.8759), ('targeting', 0.8321)]","[('tissue aging', 0.9013), ('inflammation', 0.8889), ('older age', 0.8736), ('process', 0.8047)]","[('tissue aging', 0.9013), ('inflammation', 0.8889), ('older age', 0.8736), ('process', 0.8047)]"
79,Are there repair mechanisms that remove AGE-crosslinks in the extracellular matrix.,4,"[('crosslinks', 0.8985), ('repair', 0.884), ('mechanisms', 0.8584), ('remove', 0.8506), ('age', 0.8476)]","[('age crosslinks', 0.9163), ('crosslinks extracellular', 0.9037), ('repair mechanisms', 0.9031), ('extracellular matrix', 0.8705), ('remove', 0.8506)]","[('remove age crosslinks', 0.9374), ('age crosslinks extracellular', 0.9315), ('mechanisms remove age', 0.9165), ('repair mechanisms', 0.9031), ('extracellular matrix', 0.8705)]","[('repair mechanisms', 0.9031), ('extracellular matrix', 0.8705)]","[('repair mechanisms', 0.9031), ('crosslinks', 0.8985), ('extracellular matrix', 0.8705), ('age', 0.8476)]"
80,How to reverse or restore cell function lost during aging?,4,"[('restore', 0.882), ('reverse', 0.88), ('cell', 0.8681), ('lost', 0.846)]","[('restore cell', 0.911), ('cell function', 0.8881), ('function lost', 0.8836), ('reverse', 0.88)]","[('restore cell function', 0.9294), ('cell function lost', 0.9091), ('lost aging', 0.886), ('reverse', 0.88)]","[('cell function', 0.8881)]","[('cell function', 0.8881)]"
81,How to quantify aging? (Clinical biomarkers/ of aging health),4,"[('quantify', 0.9037), ('biomarkers', 0.8908), ('clinical', 0.8645), ('health', 0.8642)]","[('quantify aging', 0.9638), ('biomarkers aging', 0.935), ('aging clinical', 0.9194), ('clinical biomarkers', 0.8992), ('health', 0.8642)]","[('quantify aging clinical', 0.9648), ('biomarkers aging health', 0.9389), ('quantify', 0.9037), ('biomarkers', 0.8908), ('health', 0.8642)]","[('aging health', 0.9127), ('clinical biomarkers/', 0.9049)]","[('clinical biomarkers/', 0.9049), ('health', 0.8642)]"
82,Can we live longer than 120 years?,4,"[('longer', 0.9047), ('years', 0.8793), ('120', 0.868), ('live', 0.8525)]","[('120 years', 0.9307), ('longer 120', 0.9283), ('live longer', 0.9278), ('longer', 0.9047), ('years', 0.8793)]","[('longer 120 years', 0.9551), ('live longer 120', 0.9544), ('live longer', 0.9278), ('years', 0.8793), ('live', 0.8525)]","[('years', 0.8793)]","[('years', 0.8793)]"
83,What lifespan extension can we achieve if all hallmarks of aging are adressed at the same time?,4,"[('lifespan', 0.8875), ('hallmarks', 0.8612), ('extension', 0.8478), ('adressed', 0.84), ('achieve', 0.8233)]","[('lifespan extension', 0.904), ('hallmarks aging', 0.8939), ('achieve hallmarks', 0.8627), ('adressed', 0.84)]","[('lifespan extension achieve', 0.9084), ('hallmarks aging adressed', 0.8991), ('extension achieve hallmarks', 0.8862), ('time', 0.8292)]","[('lifespan extension', 0.904), ('hallmarks', 0.8612), ('time', 0.8292)]","[('lifespan extension', 0.904), ('hallmarks', 0.8612), ('time', 0.8292)]"
84,"Does fundamental molecular ageing (damage/program) exist and if so, does it cause and/or promote age-related diseases? If so, how? ",4,"[('molecular', 0.8899), ('damage', 0.883), ('exist', 0.866), ('promote', 0.8385)]","[('molecular ageing', 0.9237), ('does fundamental', 0.8796), ('damage program', 0.87), ('exist', 0.866), ('cause promote', 0.8647)]","[('fundamental molecular ageing', 0.9434), ('ageing damage', 0.9018), ('promote age related', 0.8869), ('damage program exist', 0.8788), ('does cause', 0.8768)]","[('fundamental molecular ageing', 0.9434)]","[('fundamental molecular ageing', 0.9434), ('diseases', 0.8854), ('damage', 0.883), ('age', 0.8686), ('program', 0.844)]"
85,"Do cell-intrinsic events (DNA damage, proteotoxic stress, mitochondrial dysfunction etc) cause ageing or ageing is caused by systemic factors (hormones, immune system) and/or tissue microenvironment (extracellular matrix, cell-cell communication, stem cell niche)?",4,"[('proteotoxic', 0.8892), ('intrinsic', 0.8627), ('tissue', 0.8584), ('factors', 0.855)]","[('cause ageing', 0.9177), ('damage proteotoxic', 0.8998), ('cell intrinsic', 0.8992), ('systemic factors', 0.8761), ('events dna', 0.8649)]","[('cell intrinsic events', 0.9187), ('cause ageing ageing', 0.9134), ('proteotoxic stress mitochondrial', 0.9014), ('immune tissue microenvironment', 0.8787), ('systemic factors hormones', 0.8625)]","[('proteotoxic stress', 0.8976), ('systemic factors', 0.8761), ('mitochondrial dysfunction', 0.8749), ('dna damage', 0.8739)]","[('proteotoxic stress', 0.8976), ('intrinsic events', 0.8859), ('systemic factors', 0.8761), ('mitochondrial dysfunction', 0.8749)]"
86,Why do genetically identical organisms (e.g. C57BL/6 mice) kept in identical environment (the same vivarium) still have roughly 2 fold variability in their lifespans (between the first dead mouse and the last dead mouse in an experiment)?,4,"[('mice', 0.8833), ('identical', 0.881), ('lifespans', 0.8794), ('variability', 0.866), ('kept', 0.8411)]","[('genetically identical', 0.9072), ('mice kept', 0.8873), ('lifespans dead', 0.8757), ('fold variability', 0.8658), ('vivarium roughly', 0.8463)]","[('mice kept identical', 0.9302), ('variability lifespans', 0.9014), ('organisms', 0.8731), ('environment vivarium roughly', 0.8651), ('dead', 0.8526)]","[('identical organisms', 0.9013), ('c57bl/6 mice', 0.8928), ('identical environment', 0.8901), ('lifespans', 0.8794), ('first dead mouse', 0.8706)]","[('identical organisms', 0.9013), ('c57bl/6 mice', 0.8928), ('identical environment', 0.8901), ('lifespans', 0.8794), ('first dead mouse', 0.8706)]"
87,"How can we link evolutionary mechanisms, particularly AP, to diseases of ageing?",4,"[('evolutionary', 0.8981), ('ap', 0.8881), ('diseases', 0.8724), ('mechanisms', 0.8688)]","[('link evolutionary', 0.9121), ('evolutionary mechanisms', 0.912), ('ap diseases', 0.9076), ('mechanisms particularly', 0.8724)]","[('ap diseases ageing', 0.921), ('mechanisms particularly ap', 0.9193), ('link evolutionary mechanisms', 0.9162), ('evolutionary mechanisms particularly', 0.9141), ('evolutionary', 0.8981)]","[('evolutionary mechanisms', 0.912), ('ap', 0.8881), ('diseases', 0.8724)]","[('evolutionary mechanisms', 0.912), ('ap', 0.8881), ('diseases', 0.8724)]"
88,Can developments of programmatic theory describe the origins and mechanisms of emergence of diseases of aging?,4,"[('programmatic', 0.8871), ('diseases', 0.8805), ('emergence', 0.8713), ('theory', 0.8494)]","[('programmatic theory', 0.9072), ('emergence diseases', 0.8957), ('origins mechanisms', 0.8825), ('developments', 0.8527)]","[('developments programmatic theory', 0.9272), ('emergence diseases aging', 0.9126), ('theory origins mechanisms', 0.886), ('diseases', 0.8805), ('developments', 0.8527)]","[('programmatic theory', 0.9072), ('diseases', 0.8805), ('emergence', 0.8713), ('mechanisms', 0.859)]","[('programmatic theory', 0.9072), ('diseases', 0.8805), ('emergence', 0.8713), ('mechanisms', 0.859)]"
