,Titles,Scores,title_keywords
136,How much do background electromagnetic waves and fields contribute to ageing?,4,"[('background electromagnetic', 0.9145), ('contribute ageing', 0.8988), ('electromagnetic waves', 0.8898), ('fields contribute', 0.8768), ('waves fields', 0.8726)]"
137,How much does gravity contribute to musculoskeletal and cardiovascular systems ageing?,4,"[('gravity contribute', 0.9194), ('musculoskeletal cardiovascular', 0.8775), ('does', 0.8291), ('systems', 0.8285)]"
138,How much do environmental heat and cold contribute to ageing?,4,"[('cold contribute', 0.9118), ('environmental heat', 0.9116), ('contribute ageing', 0.9046), ('heat cold', 0.8843)]"
139,"How much does UV radiation contribute to skin, eye and hair ageing?",4,"[('uv radiation', 0.9153), ('radiation contribute', 0.9084), ('hair ageing', 0.8965), ('contribute skin', 0.8827), ('eye', 0.8743)]"
140,How much does the lack of sleep contribute to ageing?,4,"[('sleep contribute', 0.9254), ('lack sleep', 0.9166), ('contribute ageing', 0.892), ('does lack', 0.8496)]"
141,How much does insulin growth factor 1 contribute to ageing?,4,"[('growth factor', 0.9163), ('insulin growth', 0.9086), ('contribute ageing', 0.8916), ('factor contribute', 0.8889), ('does insulin', 0.8686)]"
142,How much does somatotropin contribute to ageing?,4,"[('somatotropin contribute', 0.943), ('somatotropin', 0.9271), ('contribute ageing', 0.8824), ('does', 0.8278)]"
143,How much does thyroxine contribute to aging?,4,"[('thyroxine contribute', 0.9357), ('does thyroxine', 0.9013), ('contribute aging', 0.8771), ('does', 0.8249)]"
144,How much does prolactin contribute to ageing?,4,"[('prolactin contribute', 0.9392), ('does prolactin', 0.9052), ('contribute ageing', 0.8786), ('does', 0.8253)]"
145,How much does oxytocin contribute to ageing?,4,"[('oxytocin contribute', 0.9384), ('does oxytocin', 0.9041), ('contribute ageing', 0.8735), ('does', 0.8229)]"
146,How much does testosterone contribute to ageing?,4,"[('testosterone contribute', 0.9446), ('does testosterone', 0.9104), ('contribute ageing', 0.8776), ('does', 0.8249)]"
147,How much does estrogen contribute to ageing?,4,"[('estrogen contribute', 0.9356), ('does estrogen', 0.9123), ('contribute ageing', 0.8649), ('does', 0.8177)]"
148,How much does autoimmunity contribute to ageing?,4,"[('autoimmunity contribute', 0.9413), ('does autoimmunity', 0.9057), ('contribute ageing', 0.8952), ('does', 0.814)]"
149,How much does the immune response to mutated cells contribute to ageing?,4,"[('mutated cells', 0.8995), ('contribute ageing', 0.8918), ('cells contribute', 0.8807), ('does immune', 0.8575), ('response', 0.851)]"
150,How much does suboptimal telomerase activity contribute to ageing?,4,"[('suboptimal telomerase', 0.9496), ('telomerase activity', 0.9187), ('contribute ageing', 0.8687), ('activity', 0.8562), ('does', 0.8135)]"
151,How much does chromosomal DNA damage contribute to ageing?,4,"[('dna damage', 0.91), ('damage contribute', 0.9099), ('contribute ageing', 0.8871), ('does chromosomal', 0.8689), ('does', 0.8253)]"
152,How much do chromosomal mutations contribute to ageing?,4,"[('chromosomal mutations', 0.9296), ('mutations contribute', 0.91), ('chromosomal', 0.8938), ('contribute ageing', 0.8906)]"
153,How much do mutations in promoter and regulatory regions contribute to ageing?,4,"[('mutations promoter', 0.9181), ('contribute ageing', 0.896), ('regions contribute', 0.8761), ('regulatory', 0.8567)]"
154,How much do errors in DNA replication contribute to ageing?,4,"[('errors dna', 0.9139), ('replication contribute', 0.9087), ('contribute ageing', 0.8913), ('replication', 0.8769), ('dna', 0.8623)]"
155,How much does deregulation of DNA methylation contribute to ageing?,4,"[('methylation contribute', 0.9109), ('dna methylation', 0.9069), ('does deregulation', 0.8776), ('dna', 0.8634)]"
156,How much does excessive cell apoptosis contribute to ageing?,4,"[('apoptosis contribute', 0.926), ('contribute ageing', 0.8951), ('excessive', 0.8866), ('cell', 0.8659)]"
157,How much does suboptimal cell proliferation contribute to ageing?,4,"[('suboptimal cell', 0.911), ('proliferation contribute', 0.9077), ('cell', 0.865), ('does', 0.8109)]"
158,How much does SASP contribute to ageing?,4,"[('sasp contribute', 0.9328), ('sasp', 0.9188), ('contribute ageing', 0.9009), ('does', 0.8143)]"
159,How much does telomere shortening contribute to ageing?,4,"[('telomere shortening', 0.9434), ('shortening contribute', 0.9123), ('telomere', 0.9057), ('contribute ageing', 0.8872), ('does', 0.819)]"
160,How much does the accumulation of intracellular and extracellular waste contribute to ageing?,4,"[('accumulation intracellular', 0.9082), ('contribute ageing', 0.8941), ('waste', 0.8741), ('extracellular', 0.8708), ('does', 0.8203)]"
161,How much does deregulation of cellular signaling contribute to ageing?,4,"[('deregulation cellular', 0.9099), ('signaling contribute', 0.8896), ('cellular signaling', 0.8859), ('does', 0.8176)]"
162,How much does excessive cell death contribute to ageing?,4,"[('excessive cell', 0.9235), ('death contribute', 0.9092), ('contribute ageing', 0.8949), ('death', 0.8591), ('does', 0.8194)]"
163,How much do suboptimal cell proliferation and renewal contribute to ageing?,4,"[('suboptimal cell', 0.8988), ('cell proliferation', 0.8936), ('renewal contribute', 0.8924), ('contribute ageing', 0.8769)]"
164,How much does disproportionally high apoptosis threshold contribute to ageing?,4,"[('apoptosis threshold', 0.9229), ('high apoptosis', 0.9199), ('contribute ageing', 0.8756), ('does disproportionally', 0.871), ('high', 0.8583)]"
165,How many individual animals survive long enough in the wild to experience ageing?,4,"[('survive long', 0.9143), ('long wild', 0.8925), ('individual animals', 0.8859), ('wild experience', 0.868)]"
166,"How much slower is ageing in better-adapted (e.g. no predators due to size, protective shells, protected environment, plenty of food) animals?",4,"[('ageing better', 0.9261), ('slower', 0.8884), ('adapted predators', 0.882), ('size protective', 0.8596), ('food', 0.8541)]"
167,"How much does economical distribution of resources (e.g. to reproduction, fight or flight, or hibernation, instead of reparation) contribute to ageing?",4,"[('reparation contribute', 0.8859), ('economical distribution', 0.8833), ('resources reproduction', 0.8747), ('hibernation instead', 0.8516)]"
168,How much does continuation of developmental programs contribute to ageing?,4,"[('continuation developmental', 0.9111), ('contribute ageing', 0.882), ('developmental', 0.8728), ('programs', 0.8488), ('does', 0.8198)]"
169,Is ageing required to leave room for descendants?,4,"[('room descendants', 0.9148), ('ageing required', 0.9071), ('descendants', 0.8887), ('leave', 0.8671), ('required', 0.8473)]"
170,How much of ageing is orchestrated by an internal clock?,4,"[('ageing orchestrated', 0.9343), ('internal clock', 0.9168), ('orchestrated internal', 0.9126), ('clock', 0.8932)]"
171,How much do paracrine factors contribute to ageing?,4,"[('paracrine factors', 0.9327), ('contribute ageing', 0.904), ('factors contribute', 0.9036), ('contribute', 0.8554)]"
172,How much does cell depletion contribute to ageing?,4,"[('cell depletion', 0.9273), ('depletion contribute', 0.9261), ('contribute ageing', 0.8899), ('does', 0.8176)]"
173,How much does accumulation of malfunctioning cells contribute to ageing?,4,"[('accumulation malfunctioning', 0.9136), ('malfunctioning cells', 0.91), ('cells contribute', 0.8864), ('does', 0.8152)]"
174,"Why does ageing manifests differently in humans, even close relatives?",4,"[('ageing manifests', 0.9253), ('manifests differently', 0.9001), ('close relatives', 0.8904), ('differently humans', 0.8847), ('does', 0.8502)]"
175,Why do genetically identical mice (lab strains) kept in identical conditions (vivariums) exhibit 2-4 fold variation in lifespan? ,4,"[('identical mice', 0.9225), ('variation lifespan', 0.9123), ('strains kept', 0.8765), ('genetically', 0.869), ('conditions vivariums', 0.8688)]"
176,How much does ageing increase susceptibility to environmental death causes?,4,"[('ageing increase', 0.9142), ('increase susceptibility', 0.9011), ('environmental death', 0.8977), ('causes', 0.8777), ('susceptibility', 0.8724)]"
177,How much does ageing increase susceptibility to diseases?,4,"[('ageing increase', 0.9291), ('increase susceptibility', 0.9148), ('susceptibility diseases', 0.9057), ('diseases', 0.8912), ('does', 0.8232)]"
178,Is ageing a collection of independently developing age-related diseases or is it mediated by common underlying processes?,4,"[('age related', 0.9139), ('common underlying', 0.9019), ('diseases mediated', 0.8883), ('ageing collection', 0.887), ('collection independently', 0.8555)]"
179,How much do positive feedback loops and chain reactions contribute to ageing?,4,"[('feedback loops', 0.8987), ('contribute ageing', 0.8953), ('reactions contribute', 0.8771), ('chain reactions', 0.877), ('positive', 0.8526)]"
180,How much of ageing is the result of an evolutionary neglect?,4,"[('evolutionary neglect', 0.9376), ('ageing result', 0.8982), ('result evolutionary', 0.8979), ('neglect', 0.8857)]"
181,How much of ageing is an evolutionary adaptation?,4,"[('ageing evolutionary', 0.9379), ('evolutionary adaptation', 0.937), ('evolutionary', 0.9073), ('adaptation', 0.9057)]"
182,Can a combination of senolytics with ROCK inhibitors and 5-LOX inhibitors contribute to tissue rejuvenation,4,"[('tissue rejuvenation', 0.9049), ('combination senolytics', 0.8994), ('rock inhibitors', 0.8877), ('lox', 0.8524), ('contribute', 0.7915)]"
183,Do the contributors to the ageing process have varying effects on different ethnicities?,4,"[('different ethnicities', 0.9233), ('contributors ageing', 0.9194), ('ageing process', 0.9047), ('effects', 0.8585), ('process', 0.8281)]"
184,The separation of epigenetic cellular rejuvenation from reversal of cellular fate.,4,"[('cellular rejuvenation', 0.9353), ('epigenetic cellular', 0.9148), ('separation epigenetic', 0.9115), ('reversal', 0.9031), ('fate', 0.8541)]"
185,What controls maximum species lifespan? ,4,"[('species lifespan', 0.9196), ('controls maximum', 0.9184), ('maximum species', 0.9081), ('lifespan', 0.9037), ('maximum', 0.8984)]"
186,What are the major pathways modulating longevity?,4,"[('modulating longevity', 0.9349), ('pathways modulating', 0.9214), ('major pathways', 0.9128), ('pathways', 0.8917)]"
187,How do life-extending interventions work?,4,"[('extending interventions', 0.9358), ('life extending', 0.9192), ('interventions work', 0.9185), ('life', 0.858), ('work', 0.8365)]"
188,Why do mice or rats age so much faster than human beings?,4,"[('rats age', 0.9217), ('age faster', 0.918), ('faster human', 0.9142), ('mice', 0.8838), ('beings', 0.8369)]"
